	SD	RH
2017-11-01	0.1875	0.0026427805
2017-11-02	0.0625	0.0025813822
2017-11-03	0.0	0.0021473747
2017-11-04	0.0625	0.0024057915
2017-11-05	1.9375	0.0022629984
2017-11-06	2.21875	0.0017234068
2017-11-07	2.46875	0.0013824245
2017-11-08	1.9375	0.001254797
2017-11-09	1.96875	0.0007576421
2017-11-10	2.28125	0.0010803062
2017-11-11	1.78125	0.002268577
2017-11-12	1.75	0.0025493447
2017-11-13	1.5625	0.002196257
2017-11-14	1.65625	0.003511086
2017-11-15	1.8125	0.002139722
2017-11-16	1.84375	0.001474509
2017-11-17	1.625	0.0024831537
2017-11-18	2.125	0.0015069386
2017-11-19	2.125	0.0012413962
2017-11-20	2.21875	0.0021577273
2017-11-21	3.40625	0.0014159661
2017-11-22	2.84375	0.0014488455
2017-11-23	2.71875	0.0015173499
2017-11-24	2.9375	0.0030451966
2017-11-27	2.96875	0.002232179
2017-11-28	3.09375	0.0019817678
2017-11-29	3.0625	0.0019861571
2017-11-30	3.78125	0.0025532544
2017-12-01	3.96875	0.0031888224
2017-12-02	3.625	0.0023222063
2017-12-03	3.65625	0.0027407277
2017-12-04	3.625	0.002503084
2017-12-05	3.5625	0.0009156931
2017-12-06	3.53125	0.0009818897
2017-12-07	3.90625	0.0012068646
2017-12-08	4.0	0.0014278563
2017-12-09	3.75	0.0013337228
2017-12-10	3.625	0.0012676921
2017-12-12	5.125	0.0012339354
2017-12-13	5.3125	0.0016565518
2017-12-14	6.03125	0.0012991047
2017-12-15	5.90625	0.0007505212
2017-12-16	6.8125	0.00072814897
2017-12-17	7.09375	0.0022247452
2017-12-18	7.28125	0.0028661052
2017-12-19	6.5	0.0011502989
2017-12-20	6.375	0.00056729745
2017-12-21	6.59375	0.0005133264
2017-12-22	7.375	0.0013510697
2017-12-23	7.59375	0.0010210844
2017-12-24	7.6875	0.0002953494
2017-12-25	7.84375	0.00022797938
2017-12-26	7.9375	0.00026479922
2017-12-27	7.875	0.0002993811
2017-12-28	8.03125	0.00047183037
2017-12-29	8.0625	0.00032601226
2017-12-30	8.03125	0.00019466877
2017-12-31	8.0625	0.0002255449
2018-01-01	8.0625	0.0003822567
2018-01-02	8.0625	0.0005890131
2018-01-03	8.0	0.00037192274
2018-01-04	7.9375	0.00027217995
2018-01-05	7.875	0.00026000757
2018-01-06	8.0625	0.0005853176
2018-01-07	7.6875	0.0019019805
2018-01-08	7.40625	0.0011838991
2018-01-09	7.34375	0.0010640742
2018-01-10	7.90625	0.0032547396
2018-01-11	7.96875	0.00031394884
2018-01-12	8.03125	0.00025235955
2018-01-13	8.03125	0.0003939215
2018-01-14	8.78125	0.00074206013
2018-01-15	8.625	0.00028145313
2018-01-16	8.6875	0.00042784214
2018-01-17	8.53125	0.00092992
2018-01-18	8.375	0.0011419691
2018-01-19	8.375	0.003196707
2018-01-20	8.46875	0.0015563332
2018-01-21	8.40625	0.0013248306
2018-01-22	8.8125	0.0018097954
2018-01-23	8.96875	0.0017401595
2018-01-24	9.59375	0.0011569615
2018-01-25	9.21875	0.0009447178
2018-01-26	9.4375	0.002522638
2018-01-27	10.9375	0.0011955854
2018-01-28	10.5	0.00046991743
2018-01-29	10.5	0.00042227283
2018-01-30	10.4375	0.00056503713
2018-01-31	12.34375	0.0005609328
2018-02-01	12.5625	0.00033424888
2018-02-02	12.65625	0.0003962554
2018-02-03	12.875	0.00028908253
2018-02-04	12.875	0.00029189233
2018-02-05	12.9375	0.000562191
2018-02-06	13.0	0.00041970797
2018-02-07	12.9375	0.00049931277
2018-02-08	13.0	0.00046455488
2018-02-09	12.96875	0.0003934661
2018-02-10	13.0625	0.00070238113
2018-02-11	13.28125	0.00089490414
2018-02-12	13.1875	0.0002533393
2018-02-13	13.0	0.00073595904
2018-02-14	12.40625	0.0021493407
2018-02-16	14.34375	0.0006167237
2018-02-17	14.28125	0.00078606606
2018-02-18	14.09375	0.00074047036
2018-02-19	14.0625	0.00034005195
2018-02-20	14.09375	0.00072241016
2018-02-21	14.09375	0.00078786537
2018-02-22	14.0625	0.00072009675
2018-02-23	14.0	0.0011739135
2018-02-24	14.03125	0.0009764908
2018-02-25	14.53125	0.001953913
2018-02-26	14.6875	0.001379149
2018-02-27	14.8125	0.0020311894
2018-02-28	14.65625	0.0013389289
2018-03-01	14.5625	0.0023351293
2018-03-02	14.375	0.0018679919
2018-03-03	14.375	0.0019692183
2018-03-04	15.0625	0.0023794156
2018-03-05	15.4375	0.002624943
2018-03-06	16.28125	0.0010913163
2018-03-07	16.15625	0.001426423
2018-03-08	15.90625	0.0019746302
2018-03-09	15.65625	0.0015453584
2018-03-10	15.5625	0.0012805806
2018-03-11	15.4375	0.0026743636
