	SD
2018-11-01	0.0
2018-11-02	0.0
2018-11-03	0.0
2018-11-04	0.0
2018-11-05	0.0
2018-11-06	0.0
2018-11-07	0.0
2018-11-08	0.0
2018-11-09	0.0
2018-11-10	0.0
2018-11-11	0.0
2018-11-12	1.0
2018-11-13	1.0
2018-11-14	1.0
2018-11-15	2.0
2018-11-16	2.0
2018-11-17	2.0
2018-11-18	2.0
2018-11-19	2.0
2018-11-20	2.0
2018-11-21	2.0
2018-11-22	2.0
2018-11-23	2.0
2018-11-24	2.0
2018-11-25	2.0
2018-11-26	2.0
2018-11-27	2.0
2018-11-28	2.0
2018-11-29	2.0
2018-11-30	2.0
2018-12-01	2.0
2018-12-02	2.0
2018-12-03	2.0
2018-12-04	2.0
2018-12-05	2.0
2018-12-06	2.0
2018-12-07	2.0
2018-12-08	2.0
2018-12-09	2.0
2018-12-10	2.0
2018-12-11	1.0
2018-12-12	1.0
2018-12-13	1.0
2018-12-14	1.0
2018-12-15	3.0
2018-12-16	3.0
2018-12-17	3.0
2018-12-18	3.0
2018-12-19	3.0
2018-12-20	3.0
2018-12-21	3.0
2018-12-22	4.0
2018-12-23	4.0
2018-12-24	4.0
2018-12-25	4.0
2018-12-26	4.0
2018-12-27	5.0
2018-12-28	5.0
2018-12-29	5.0
2018-12-30	5.0
2018-12-31	5.0
2019-01-01	5.0
2019-01-02	5.0
2019-01-03	5.0
2019-01-04	5.0
2019-01-05	5.0
2019-01-06	5.0
2019-01-07	7.0
2019-01-08	7.0
2019-01-09	7.0
2019-01-10	7.0
2019-01-11	9.0
2019-01-12	9.0
2019-01-13	9.0
2019-01-14	9.0
2019-01-15	11.0
2019-01-16	11.0
2019-01-17	11.0
2019-01-18	11.0
2019-01-19	11.0
2019-01-20	11.0
2019-01-21	11.0
2019-01-22	11.0
2019-01-23	11.0
2019-01-24	12.0
2019-01-25	12.0
2019-01-26	12.0
2019-01-27	12.0
2019-01-28	12.0
2019-01-29	12.0
2019-01-30	12.0
2019-01-31	12.0
2019-02-01	13.0
2019-02-02	13.0
2019-02-03	14.0
2019-02-04	14.0
2019-02-05	14.0
2019-02-06	14.0
2019-02-07	14.0
2019-02-08	14.0
2019-02-09	14.0
2019-02-10	14.0
2019-02-11	14.0
2019-02-12	15.0
2019-02-13	15.0
2019-02-14	15.0
2019-02-15	15.0
2019-02-16	15.0
2019-02-17	15.0
2019-02-18	15.0
2019-02-19	15.0
2019-02-20	15.0
2019-02-21	15.0
2019-02-22	15.0
2019-02-23	15.0
2019-02-24	15.0
2019-02-25	15.0
2019-02-26	15.0
2019-02-27	15.0
2019-02-28	15.0
2019-03-01	15.0
2019-03-02	15.0
2019-03-03	15.0
2019-03-05	15.0
2019-03-06	15.0
2019-03-07	15.0
2019-03-08	15.0
2019-03-09	15.0
2019-03-10	16.0
2019-03-11	16.0
2019-03-12	16.0
2019-03-13	16.0
2019-03-14	16.0
2019-03-15	16.0
2019-03-16	16.0
2019-03-17	16.0
2019-03-18	16.0
2019-03-19	15.0
2019-03-20	14.0
2019-03-21	12.0
2019-03-22	12.0
2019-03-23	11.0
2019-03-24	11.0
2019-03-25	11.0
2019-03-26	11.0
2019-03-27	10.0
2019-03-28	8.0
2019-03-29	8.0
2019-03-30	8.0
2019-03-31	8.0
2019-04-01	8.0
2019-04-02	7.0
2019-04-03	7.0
2019-04-04	7.0
2019-04-05	7.0
2019-04-06	7.0
2019-04-07	8.0
2019-04-08	8.0
2019-04-09	8.0
2019-04-10	8.0
2019-04-11	7.0
2019-04-12	6.0
2019-04-13	6.0
2019-04-14	4.0
2019-04-15	3.0
2019-04-16	2.0
2019-04-17	0.0
2019-04-18	0.0
2019-04-19	0.0
2019-04-20	0.0
2019-04-21	0.0
2019-04-22	0.0
2019-04-23	0.0
2019-04-24	0.0
2019-04-25	0.0
2019-04-26	0.0
2019-04-27	0.0
2019-04-28	0.0
2019-04-29	0.0
