TIME	WIND_SPEED	WIND_DIR	AIR_TEMP	REL_HUM	SOLAR_RAD	LW_RAD_IN	ATM_PRESS	RAIN	SNOW
2016001	8.154	138.298	-9.009	0.847	0.0	198.419	986.986	0.0	0.0
2016002	9.174	128.282	-5.657	0.879	0.0	229.477	985.307	0.0	0.0
2016003	5.108	133.559	-10.912	0.907	0.0	200.059	997.709	0.0	0.0
2016004	7.98	5.569	-9.291	0.867	0.0	214.958	990.839	0.0	0.0
2016005	6.393	122.843	-13.162	0.855	0.0	187.649	985.773	0.0	0.0
2016006	3.932	155.768	-15.281	0.853	0.0	178.27	994.877	0.0	0.0
2016007	4.895	239.256	-13.87	0.792	0.0	252.458	995.058	0.0	0.019200000000000002
2016008	7.13	172.399	-21.491	0.695	0.0	207.293	997.172	0.0	0.02
2016009	7.134	147.916	-23.404	0.696	0.0	196.732	999.6	0.0	0.02
2016010	3.996	123.265	-23.918	0.78	0.0	171.701	992.161	0.0	0.02
2016011	4.209	145.485	-22.427	0.718	0.0	216.216	985.562	0.0	0.02
2016012	5.821	105.899	-23.067	0.764	0.0	166.494	988.843	0.0	0.02
2016013	2.44	123.194	-24.124	0.773	0.0	151.547	983.538	0.0	0.02
2016014	3.9	115.977	-24.826	0.768	0.0	155.627	977.915	0.0	0.02
2016015	6.835	185.099	-22.818	0.716	0.0	160.178	989.602	0.0	0.02
2016016	8.501	150.754	-22.633	0.686	0.0	210.67	993.131	0.0	0.02
2016017	5.105	130.885	-21.495	0.749	0.0	210.297	995.495	0.0	0.0208
2016018	2.33	115.243	-25.206	0.747	0.0	150.207	999.991	0.0	0.0208
2016019	7.628	340.641	-22.273	0.777	0.0	166.611	997.559	0.0	0.0208
2016020	3.442	150.028	-13.106	0.828	0.0	253.607	989.744	0.0	0.028
2016021	2.904	148.329	-15.847	0.828	0.0	219.887	1002.652	0.0	0.031200000000000002
2016022	9.633	0.094	-14.701	0.823	0.0	230.323	995.886	0.0	0.031200000000000002
2016023	6.949	225.99	-6.21	0.922	0.0	283.162	977.814	0.0	0.0318
2016024	2.938	279.707	-10.667	0.84	0.0	256.53	988.811	0.0	0.032600000000000004
2016025	4.058	109.003	-8.811	0.884	0.0	252.384	984.856	0.0	0.032600000000000004
2016026	0.535	357.603	-19.387	0.896	0.0	171.35	991.735	0.0	0.032600000000000004
2016027	1.228	250.511	-5.067	0.946	0.0	288.763	970.106	0.0	0.03440000000000001
2016028	2.635	232.683	-21.186	0.768	0.0	169.024	990.147	0.0	0.03440000000000001
2016029	9.755	350.242	-7.201	0.882	0.0	285.69	964.609	0.0	0.04400000000000001
2016030	8.967	142.716	-5.906	0.844	0.0	279.64	961.782	0.0	0.044600000000000015
2016031	3.769	196.202	-16.749	0.799	0.0	179.952	978.704	0.0	0.044600000000000015
2016032	4.074	194.71	-15.191	0.777	0.0	225.892	989.012	0.0	0.04620000000000001
2016033	3.076	76.736	-17.199	0.811	0.0	200.109	996.376	0.0	0.047000000000000014
2016034	5.166	309.216	-12.945	0.841	0.0	257.612	989.409	0.0	0.052600000000000015
2016035	3.902	128.03	-21.389	0.788	0.0	155.608	991.404	0.0	0.052600000000000015
2016036	2.685	48.616	-20.348	0.873	0.0	170.755	995.216	0.0	0.052600000000000015
2016037	9.288	299.497	-15.558	0.784	0.0	259.496	984.9	0.0	0.06860000000000002
2016038	10.302	174.114	-14.782	0.8	0.0	249.192	981.296	0.0	0.08620000000000003
2016039	7.55	156.884	-18.774	0.718	0.0	157.033	999.821	0.0	0.08620000000000003
2016040	4.808	186.719	-25.18	0.774	0.0	144.054	1003.028	0.0	0.08620000000000003
2016041	3.111	308.032	-21.344	0.717	0.0	220.188	996.686	0.0	0.08700000000000002
2016042	4.976	118.205	-24.97	0.765	0.0	144.231	998.332	0.0	0.08700000000000002
2016043	7.156	140.958	-28.719	0.681	0.0	128.618	1010.342	0.0	0.08700000000000002
2016044	5.9	356.342	-25.681	0.727	0.0	145.39	1004.301	0.0	0.08700000000000002
2016045	7.381	12.155	-13.117	0.837	0.0	258.603	978.84	0.0	0.09420000000000002
2016046	5.877	137.094	-15.236	0.86	0.0	178.501	975.048	0.0	0.09420000000000002
2016047	3.911	149.022	-24.948	0.793	0.0	144.235	991.559	0.0	0.09420000000000002
2016048	8.163	355.01	-15.406	0.81	0.0	239.811	987.448	0.0	0.10060000000000002
2016049	6.46	297.462	-9.168	0.899	0.0	259.617	981.241	0.0	0.10140000000000002
2016050	4.129	309.335	-4.595	0.943	0.0	264.582	966.944	0.0	0.10170000000000001
2016051	6.742	170.466	-12.739	0.729	0.0	241.06	988.529	0.0	0.10650000000000001
2016052	5.602	80.071	-19.551	0.746	0.0	155.759	999.159	0.0	0.10650000000000001
2016053	4.007	320.604	-18.226	0.826	0.0	202.595	990.312	0.0	0.10650000000000001
2016054	1.098	205.595	-14.29	0.861	0.0	227.92	991.305	0.0	0.1073
2016055	1.749	65.628	-10.332	0.86	0.0	250.011	991.205	0.0	0.1073
2016056	4.069	83.799	-16.568	0.813	0.0	177.991	999.795	0.0	0.1073
2016057	5.756	102.016	-9.413	0.906	0.0	208.048	982.479	0.0	0.1073
2016058	10.084	210.19	-17.044	0.642	0.0	220.47	984.665	0.0	0.1073
2016059	2.355	75.632	-18.494	0.669	0.0	213.033	984.662	0.0	0.1073
2016060	7.241	117.83	-25.32	0.654	0.0	140.609	993.656	0.0	0.1073
2016061	5.318	105.336	-23.011	0.719	0.0	148.969	993.762	0.0	0.1073
2016062	3.49	266.42	-24.51	0.718	0.0	152.29	992.954	0.0	0.1073
2016063	2.843	57.691	-23.672	0.794	0.0	155.818	995.306	0.0	0.1073
2016064	5.604	320.664	-13.808	0.805	0.0	237.157	987.871	0.0	0.1073
2016065	4.582	354.382	-12.089	0.912	0.0	212.958	988.784	0.0	0.1073
2016066	5.322	199.597	-2.462	0.946	0.0	296.934	972.898	0.0	0.10750000000000001
2016067	7.711	247.723	-10.616	0.803	0.0	268.212	986.513	0.0	0.10750000000000001
2016068	7.288	200.38	-7.455	0.879	0.0	278.614	982.508	0.0	0.1131
2016069	2.145	350.889	-15.782	0.842	0.0	206.908	989.323	0.0	0.1131
2016070	2.675	6.126	-12.964	0.95	0.0	206.749	990.836	0.0	0.1131
2016071	10.669	39.864	2.887	0.921	0.0	292.438	973.529	0.0	0.0945797054188629
2016072	3.089	126.351	-8.048	0.977	2.0	221.279	988.673	0.0	0.0945797054188629
2016073	10.033	337.948	1.498	0.901	6.0	293.607	973.259	0.0	0.08529865825318943
