TIME	WIND_SPEED	WIND_DIR	AIR_TEMP	REL_HUM	SOLAR_RAD	LW_RAD_IN	ATM_PRESS	RAIN	SNOW
2002001	5.755	126.83	-10.481	0.856	0.0	260.04	1005.548	3e-05	0.0
2002002	3.584	58.702	-16.509	0.819	0.0	188.281	995.988	0.0	0.0
2002003	5.761	324.592	-12.719	0.853	0.0	232.955	982.904	0.0	0.0
2002004	3.635	66.236	-13.721	0.815	0.0	203.933	979.653	0.0	0.0
2002005	6.328	159.518	-11.607	0.797	0.0	235.505	984.706	0.0	0.004
2002006	4.066	71.931	-19.121	0.818	0.0	171.651	997.67	0.0	0.004
2002007	6.753	87.161	-5.286	0.914	0.0	226.713	975.071	0.0	0.004
2002008	4.61	57.904	-2.368	0.927	0.0	271.388	965.196	0.0	0.004
2002009	7.685	139.362	0.66	0.993	0.0	317.705	969.894	0.00058	0.0
2002010	4.28	89.906	-5.956	0.887	0.0	283.539	988.176	0.0	0.0
2002011	2.85	100.854	-4.884	0.942	0.0	284.563	983.133	0.0	0.0
2002012	8.369	124.686	-7.591	0.851	0.0	200.107	986.039	0.0	0.0
2002013	5.78	258.365	-9.226	0.878	0.0	231.68	980.016	0.0	0.0
2002014	3.442	252.13	-9.456	0.852	0.0	266.004	986.172	0.00013	0.0
2002015	3.419	143.633	-15.574	0.744	0.0	207.455	996.62	0.0	0.0
2002016	1.616	12.009	-20.28	0.852	0.0	166.862	989.386	0.0	0.0
2002017	5.76	152.238	-20.902	0.778	0.0	164.531	993.11	0.0	0.0
2002018	6.811	35.328	-20.989	0.739	0.0	201.068	990.854	1e-05	0.0
2002019	8.965	167.288	-26.323	0.747	0.0	134.739	978.231	0.0	0.0
2002020	4.227	331.429	-23.847	0.767	0.0	196.634	980.622	0.0	0.0004909942120531086
2002021	7.173	226.924	-24.603	0.685	0.0	221.576	980.744	0.0	0.00949099421205311
2002022	4.976	235.276	-25.993	0.673	0.0	186.01	986.951	0.0	0.01039099421205311
2002023	4.534	193.171	-29.423	0.709	0.0	145.983	994.481	0.0	0.01039099421205311
2002024	1.943	82.236	-22.113	0.721	0.0	200.597	984.857	0.0	0.01129099421205311
2002025	2.492	271.068	-24.726	0.773	0.0	220.844	979.303	0.0	0.02209099421205311
2002026	3.359	124.832	-22.81	0.705	0.0	193.601	989.387	0.0	0.02209099421205311
2002027	1.812	172.286	-24.749	0.716	0.0	200.588	993.716	0.0	0.022990994212053112
2002028	3.131	149.39	-31.239	0.703	0.0	138.317	1001.354	0.0	0.02419099421205311
2002029	6.58	359.555	-28.912	0.737	0.0	141.331	996.027	0.0	0.02419099421205311
2002030	1.639	225.384	-22.129	0.762	0.0	190.829	996.914	0.0	0.02419099421205311
2002031	1.06	273.142	-27.171	0.827	0.0	146.004	999.181	0.0	0.02419099421205311
2002032	1.238	265.406	-26.873	0.743	0.0	149.359	998.333	0.0	0.02419099421205311
2002033	4.825	23.284	-17.984	0.797	0.0	235.775	987.904	0.0	0.025090994212053113
2002034	3.902	184.396	-25.12	0.778	0.0	145.168	1001.794	0.0	0.025090994212053113
2002035	11.185	4.314	-15.997	0.76	0.0	216.152	987.76	0.0	0.025090994212053113
2002036	5.31	14.02	-16.232	0.74	0.0	211.408	995.048	0.0	0.025090994212053113
