Lake Name:,Lake Winnipeg,,,,,,,
Station Nam,e:  Stn502,,,,,,,
Station Lat,itude and Long,itude:,51.6950 -96.,8042,,,,
TIME,WIND_SPEED,WIND_DIR,AIR_TEMP,REL_HUM,SOLAR_RAD,LW_RAD_IN,ATM_PRESS,PRECIP
2011001,5.25,180.475,-20.186,0.746,0,209.503,981.712,0
2011002,3.866,139.255,-21.452,0.762,0,204.446,982.782,0.00001
2011003,3.684,90.587,-21.56,0.788,0,190.514,987.421,0
2011004,2.555,86.118,-15.337,0.811,0,240.207,980.854,0
2011005,1.928,165.566,-22.956,0.808,0,168.14,982.777,0.00001
2011006,1.163,228.862,-24.89,0.801,0,170.813,985.884,0.00001
2011007,9.121,153.704,-18.153,0.789,0,242.142,983.19,0.00025
2011008,0.938,216.624,-21.015,0.904,0,166.532,991.939,0
2011009,2.775,90.419,-13.379,0.807,0,247.529,997.095,0.00002
2011010,1.083,111.276,-13.19,0.845,0,243.474,1004.694,0.00001
2011011,2.292,173.25,-12.943,0.865,0,247.786,1005.54,0.00001
2011012,2.372,160.061,-16.779,0.824,0,218.573,1011.078,0.00002
2011013,3.491,293.895,-16.357,0.814,0,237.101,998.452,0.0001
2011014,2.011,222.917,-13.83,0.844,0,241.679,997.309,0.00001
2011015,3.256,159.626,-25.53,0.76,0,176.604,1004.306,0
2011016,4.194,0.433,-26.045,0.78,0,180.721,994.642,0.00002
2011017,4.752,178.8,-20.139,0.788,0,215.889,980.411,0.00001
2011018,1.03,151.33,-30.034,0.749,0,146.037,996.709,0
2011019,6.398,5.349,-22.704,0.759,0,222.202,984.253,0.00005
2011020,8.687,155.347,-23.455,0.663,0,191.567,995.255,0
2011021,5.109,335.608,-24.319,0.743,0,214.202,986.434,0.00003
2011022,2.035,197.796,-26.693,0.727,0,189.878,990.399,0
2011023,8.294,356.052,-20.622,0.754,0,228.282,981.848,0.00006
2011024,5.404,176.365,-16.775,0.77,0,235.874,985.239,0
2011025,4.288,26.927,-13.722,0.844,0,262.586,979.802,0.00001
2011026,4.218,348.676,-15.765,0.801,0,249.223,988.231,0.00001
2011027,3.191,178.617,-13.85,0.847,0,222.152,984.749,0.00001
2011028,5.347,310.852,-13.418,0.815,0,261.61,977.518,0.00072
2011029,4.419,194.751,-17.82,0.696,0,208.745,993.905,0
2011030,2.262,144.739,-30.21,0.711,0,129.792,1009.692,0
2011031,3.331,136.389,-25.787,0.723,0,176.678,1011.233,0
2011032,3.324,101.583,-26.473,0.683,0,140.924,1013.169,0
2011033,4.54,14.181,-22.225,0.7,0,156.608,994.978,0
2011034,5.599,128.129,-3.753,0.914,0,290.695,979.167,0
2011035,7.052,132.659,1.314,0.959,0,315.002,971.427,0.00014
2011036,3.007,212.15,-8.736,0.908,0,231.904,979.05,0
2011037,4.751,185.768,-13.559,0.732,0,237.466,996.131,0.00001
2011038,2.844,144.76,-21.264,0.781,0,185.756,1000.61,0
2011039,5.109,104.314,-17.965,0.737,0,171.957,992.488,0
2011040,4.61,143.402,-21.936,0.708,0,160.663,993.066,0
2011041,2.751,19.432,-22.535,0.717,0,184.27,981.344,0
2011042,3.665,38.754,-17.346,0.817,0,244.747,972.216,0.00003
2011043,2.018,304.502,-18.744,0.849,0,210.64,980.229,0
2011044,1.885,277.743,-5.88,0.933,0,295.165,961.274,0.00024
