Lake Name:,Lake Winnipeg,,,,,,,
Station Nam,e:  add1,,,,,,,
Station Lat,itude and Longit,ude:   5,2.5500 -97.6390,,,,,
TIME,WIND_SPEED  W,IND_DIR,AIR_TEMP   RE,L_HUM,SOLAR_RAD,LW_RAD_IN,ATM_PRESS,PRECIP
2007001,4.926,83.062,-11.299,0.871,0,212.436,989.146,0
2007002,8.543,10.092,-7.7,0.778,0,226.803,975.969,0
2007003,9.241,1.257,-0.978,0.909,0,296.525,961.717,0.00001
2007004,7.379,57.881,-0.937,0.909,0,294.617,960.447,0.00003
2007005,6.433,147.317,-6.454,0.894,0,267.098,973.894,0.00002
2007006,5.976,13.432,-12.31,0.824,0,189.181,974.455,0
2007007,10.781,146.753,-8.513,0.884,0,271.601,978.38,0.00028
2007008,4.636,167.261,-13.623,0.753,0,227.535,981.471,0.00001
2007009,9.001,134.871,-16.05,0.744,0,221.663,994.75,0.00001
2007010,6.916,276.458,-18.884,0.759,0,222.748,991.364,0.00002
2007011,11.303,196.742,-24.423,0.688,0,212.021,995.228,0.00004
2007012,2.334,120.568,-26.422,0.715,0,176.751,1007.113,0.00001
2007013,6.737,39.543,-23.498,0.738,0,160.024,992.233,0
2007014,7.085,98.255,-27.486,0.7,0,136.733,1009.204,0
2007015,3.546,63.203,-25.844,0.676,0,138.178,1004.885,0
2007016,8.42,351.21,-21.389,0.641,0,199.604,997.675,0
2007017,3.889,30.753,-7.095,0.836,0,261.514,981.58,0
2007018,7.059,142.788,-17.246,0.716,0,181.481,990.187,0
2007019,1.16,106.827,-25.704,0.788,0,152.23,996.917,0
2007020,7.916,336.809,-15.583,0.814,0,235.928,987.693,0
2007021,2.216,153.946,-17.606,0.855,0,195.224,992.516,0
2007022,2.612,81.803,-10.408,0.879,0,255.771,982.669,0.00001
2007023,2.922,186.478,-23.941,0.79,0,145.193,990.445,0
2007024,9.946,169.104,-17.41,0.743,0,202.638,995.056,0.00002
2007025,6.028,345.172,-16.816,0.779,0,243.35,996.257,0.00002
2007026,7.508,142.075,-9.677,0.88,0,266.268,973.492,0.00012
2007027,8.9,167.462,-23.354,0.733,0,143.108,1001.458,0
2007028,7.991,0.431,-20.567,0.715,0,217.023,988.557,0
2007029,9.778,185.866,-20.162,0.738,0,226.628,993.272,0.00001
2007030,6.944,82.025,-18.426,0.751,0,210.036,992.074,0
2007031,5.233,138.576,-23.716,0.788,0,161.7,990.172,0
2007032,8.707,167.838,-20.707,0.644,0,193.577,985.435,0.00001
2007033,7.771,169.384,-21.252,0.705,0,198.511,977.146,0
2007034,6.724,151.157,-27.271,0.615,0,190.065,988.124,0
2007035,3.737,156.328,-32.752,0.681,0,117.041,1001.121,0
2007036,2.583,94.016,-33.107,0.716,0,121.008,1008.85,0
2007037,1.822,144.275,-32.005,0.742,0,129.265,1000.234,0
2007038,9.889,124.477,-27.398,0.688,0,133.111,1000.262,0
2007039,9.447,138.069,-24.843,0.72,0,157.379,1001.375,0
2007040,7.52,128.959,-26.683,0.733,0,140.279,1003.28,0
2007041,7.902,101.597,-24.059,0.755,0,151.681,993.559,0
2007042,6.324,157.762,-27.622,0.753,0,130.85,992.047,0
2007043,4.617,150.144,-29.349,0.714,0,139.755,1006.198,0
2007044,1.914,154.687,-23.351,0.754,0,192.409,1012.974,0
2007045,3.803,124.765,-25.526,0.781,0,151.377,1008.892,0
2007046,8.838,21.766,-20.534,0.729,0,183.348,991.546,0
2007047,4.618,142.042,-11.411,0.851,0,245.125,972.693,0
2007048,6.324,147.56,-22.384,0.724,0,147.853,993.706,0
2007049,3.3,341.048,-23.752,0.768,0,155.913,991.345,0
2007050,2.691,223.479,-13.33,0.821,0,247.45,970.367,0.00003
2007051,1.108,190.91,-23.849,0.822,0,166.039,977.616,0
2007052,8.496,231.586,-19.355,0.768,0,176.3,978.1,0
2007053,1.589,153.06,-22.303,0.755,0,177.998,999.077,0.00001
2007054,7.404,290.316,-16.484,0.753,0,179.506,999.539,0
2007055,7.412,303.788,-7.441,0.84,0,274.678,992.84,0.00016
2007056,2.391,272.39,-6.499,0.921,0,281.666,988.994,0.0003
2007057,5.396,254.625,-8.285,0.781,0,269.196,987.905,0
2007058,5.83,294.09,-10.212,0.761,0,238.059,990.059,0
2007059,5.83,301.057,-7.701,0.855,0,263.731,991.656,0
2007060,7.646,276.924,-9.855,0.83,0,217.998,987.61,0
2007061,6.564,223.468,-11.889,0.711,0,214.515,986.949,0
2007062,4.766,164.597,-17.648,0.769,0,175.245,995.603,0
2007063,12.993,149.664,-11.189,0.722,0,244.565,987.543,0
2007064,1.779,172.537,-28.148,0.73,0,134.227,1011.67,0
2007065,4.722,319.126,-16.979,0.743,0,240.495,1004.081,0.00014
2007066,2.207,350.101,-22.381,0.787,0,177.648,1001.715,0
2007067,9.799,333.84,-9.435,0.88,0,251.672,977.132,0
2007068,10.592,139.428,-7.921,0.878,0,277.641,977.172,0.00014
2007069,2.124,332.38,-15.533,0.932,0,198.618,990.044,0
2007070,5.937,253.43,-5.685,0.821,0.75,265.752,991.009,0
2007071,7.912,311.173,-7.294,0.829,5,286.413,984.461,0.00001
2007072,9.607,130.092,-9.408,0.784,7.25,234.307,980.111,0
2007073,10.729,152.049,-19.94,0.657,12.75,144.523,992.174,0
2007074,2.221,132.584,-23.868,0.757,16.75,148.979,1005.511,0
2007075,5.169,51.604,-11.082,0.844,17.25,257.488,998.909,0.00002
2007076,4.023,327.599,-10.831,0.89,28,247.723,999.296,0
2007077,11.009,341.069,-3.881,0.856,16.5,295.233,982.326,0.00008
2007078,11.737,162.361,-21.709,0.682,34.75,152.143,997.69,0
2007079,11.798,342.076,-14.115,0.767,31.5,265.005,993.637,0.00016
2007080,11.263,110.214,-5.137,0.883,40,230.95,973.481,0
2007081,3.722,356.433,-13.629,0.802,50,195.576,985.561,0
2007082,4.163,61.289,-5.731,0.916,49.75,239.101,983.623,0
2007083,7.595,14.645,-1.96,0.854,55,239.525,987.824,0
2007084,7.337,337.29,1.488,0.949,51.5,306.125,977.595,0
2007085,8.322,130.226,-0.536,0.945,39.75,299.979,983.625,0.00001
2007086,4.752,333.882,-4.826,0.972,73.5,223.487,1000.158,0
2007087,10.927,310.929,-0.461,0.753,84.25,265.867,997.95,0
2007088,13.161,171.568,-2.745,0.86,66,270.953,1005.816,0.00002
2007089,4.05,350.053,-11.187,0.698,92.75,191.454,1012.018,0
2007090,6.301,339.207,-1.844,0.925,67.5,294.64,992.264,0
2007091,4.912,217.968,0.353,0.982,43.75,314.454,979.118,0.00005
2007092,9.02,186.165,-10.43,0.782,84.5,226.045,991.726,0
2007093,7.599,195.035,-15.831,0.726,115.25,173.783,1007.917,0
2007094,6.319,191.501,-19.508,0.74,129,152.457,1013.405,0
2007095,4.514,191.082,-16.461,0.725,120,186.15,1012.33,0
2007096,7.312,172.584,-19.541,0.774,140.5,156.774,1012.639,0
2007097,6.178,179.776,-15.684,0.802,142.25,186.03,1008.738,0
2007098,1.719,213.725,-16.99,0.785,151.75,172.488,1000.608,0
2007099,3.13,277.461,-13.077,0.662,157.5,181.678,994.659,0
2007100,5.827,268.565,-10.866,0.605,165.75,182.067,991.915,0
2007101,4.545,250.7,-10.437,0.698,169.25,191.565,994.785,0
2007102,1.262,166.022,-11.1,0.744,174.25,197.171,989.993,0.00001
2007103,3.211,341.69,-5.472,0.741,168.25,227.035,988.82,0
2007104,1.956,317.353,-8.629,0.973,183.75,209.565,989.843,0
2007105,10.422,345.146,1.179,0.766,182,250.276,984.084,0
2007106,6.652,137.781,1.413,0.856,152,282.908,988.433,0
2007107,5.915,322.3,-2.265,0.809,202,222.038,996.394,0
2007108,8.551,344.038,0.092,0.791,208,236.156,993.431,0
2007109,6.025,289.769,3.145,0.646,210.75,245.79,994.462,0
2007110,8.218,302.905,3.046,0.86,174.75,297.256,989.651,0
2007111,7.502,22.855,3.348,0.797,215,250.83,982.116,0
2007112,6.352,153.832,-0.219,0.982,157.75,305.929,983.66,0
2007113,6.772,170.324,-1.491,0.762,229.5,216.308,993.015,0
2007114,3.016,152.054,-1.274,0.711,235.5,216.178,999.397,0
2007115,7.79,350.18,2.084,0.715,235.25,246.385,990.167,0
2007116,3.084,147.042,3.332,0.805,237.25,260.282,982.886,0
2007117,2.433,26.57,3.059,0.791,236.25,251.184,983.204,0
2007118,3.078,29.985,3.686,0.902,245.75,266.803,983.163,0
2007119,7.162,132.243,2.067,0.833,255.5,244.021,984.881,0
2007120,3.352,273.812,3.099,0.864,128.25,309.922,987.167,0.00001
2007121,6.363,178.221,5.758,0.892,258,249.539,992.551,0
2007122,6.635,342.796,6.711,0.845,206.5,277.026,997.361,0
2007123,9.899,317.91,7.975,0.742,124.5,328.124,991.415,0
2007124,9.774,311.818,9.366,0.691,259.25,290.226,988.006,0
2007125,6.698,304.527,8.94,0.989,81.5,356.447,991.384,0.00006
2007126,8.235,315.778,7.736,0.952,25.75,348.893,988.391,0.00004
2007127,4.63,42.291,6.737,0.994,172,341.372,982.44,0
2007128,4.158,81.343,7.424,0.775,168.75,317.089,985.874,0
2007129,4.561,288.767,8.281,0.942,278,288.484,981.153,0
2007130,12.753,144.17,5.646,0.869,166,323.232,990.958,0
2007131,3.775,253.604,4.823,0.778,259.75,257.389,1003.473,0
2007132,5.19,353.8,7.331,0.753,303,255.716,999.508,0
2007133,7.542,352.38,8.459,0.798,145.25,331.283,986.642,0.00001
2007134,5.435,204.695,8.102,0.696,93.25,328.977,987.511,0
2007135,8.373,141.931,6.302,0.857,309,254.682,992.267,0
2007136,3.993,133.869,5.962,0.805,319.75,241.051,998.275,0
2007137,10.596,24.41,8.307,0.694,311.75,265.406,986.907,0
2007138,10.086,235.275,1.358,0.777,205.75,270.839,991.866,0
2007139,8.025,261.199,-0.178,0.588,332,213.246,1003.088,0
2007140,9.081,324.209,4.348,0.73,137.25,309.007,995.913,0
2007141,5.953,299.785,7.159,0.841,143.25,346.391,984.586,0
2007142,6.609,214.927,7.392,0.985,58.25,358.44,978.379,0.00008
2007143,8.383,212.787,6.469,0.944,62,339.716,981.573,0.00001
2007144,11.943,197.167,2.762,0.901,82.25,318.059,985.797,0.00001
2007145,7.121,174.631,1.255,0.792,97.75,303.675,996.436,0.00005
2007146,3.129,273.635,4.671,0.762,332.25,240.225,998.098,0
2007147,3.054,38.883,6.187,0.802,342.25,251.852,989.282,0
2007148,8.123,357.482,8.157,0.794,324.25,280.457,984.501,0
2007149,7.801,237.832,8.805,0.832,149,330.074,985.365,0
2007150,5.984,215.412,6.913,0.818,334.25,279.231,994.418,0
2007151,7.661,247.783,12.726,0.796,303,317.699,989.83,0
2007152,2.135,60.912,13.211,0.991,65,378.12,988.647,0.00058
2007153,2.47,200.71,12.565,0.988,176,360.574,985.719,0.0003
2007154,6.401,210.492,13.676,0.956,332.5,311.15,986.618,0
2007155,9.386,208.695,11.092,0.724,350.5,270.086,990.041,0
2007156,4.803,60.434,10.974,0.594,245.5,295.354,986.082,0
2007157,4.609,348.086,12.302,0.928,143.5,343.281,973.925,0.00001
2007158,10.231,211.648,10.234,0.662,210.25,309.003,973.509,0
2007159,7.981,86.676,12.199,0.697,353.75,271.954,975.087,0
2007160,6.983,138.848,10.143,0.703,161.25,337.605,981.138,0.00005
2007161,4.147,309.894,12.543,0.64,127.75,335.584,986.546,0
2007162,5.187,231.61,13.352,0.962,60.5,379.871,986.42,0
2007163,6.34,329.37,16.012,0.931,321.5,364.604,983.902,0.00002
2007164,6.092,359.219,14.039,0.989,203.75,351.268,987.676,0.00002
2007165,4.331,15.049,15.973,0.715,345.25,310.801,988.008,0
2007166,2.155,193.116,13.391,0.978,67.25,370.542,980.412,0.0006
2007167,4.376,24.259,13.258,0.897,348,294.53,991.229,0
2007168,4.072,268.48,13.777,0.784,254.75,310.529,986.06,0
2007169,7.795,231.105,13.223,0.945,37,376.108,966.181,0.00112
2007170,12.516,161.015,10.849,0.807,82,349.623,979.895,0.00008
2007171,9.735,161.065,11.553,0.81,141.75,353.842,986.634,0.00002
2007172,3.62,275.207,12.183,0.865,348.25,285.177,994.861,0
2007173,9.166,271.764,12.209,0.934,268.25,333.548,987.277,0.00064
