Lake Name:,Lake Winnipeg,,,,,,,
Station Nam,e:  add1,,,,,,,
Station Lat,itude and Long,itude:,52.5500 -97.,6390,,,,
TIME,WIND_SPEED,WIND_DIR,AIR_TEMP,REL_HUM,SOLAR_RAD,LW_RAD_IN,ATM_PRESS,PRECIP
2018001,6.633,95.22,-22.99,0.746,0,154.569,1009.612,0
2018002,3.469,106.832,-16.262,0.778,0,242.95,986.548,0.00006
2018003,4.088,165.826,-23.976,0.723,0,180.165,1003.23,0
2018004,2.17,258.874,-28.521,0.747,0,135.692,1006.338,0
2018005,3.743,313.961,-26.879,0.693,0,140.815,1010.26,0
2018006,12.891,351.209,-18.524,0.733,0,213.772,990.283,0
2018007,6.979,107.545,-7.458,0.881,0,270.739,974.221,0.00001
2018008,6.784,125.211,-14.853,0.764,0,174.375,984.135,0
2018009,4.987,348.566,-14.117,0.813,0,217.497,987.456,0
2018010,15.358,161.616,-15.936,0.79,0,220.188,974.991,0.00002
2018011,9.403,157.587,-25.362,0.661,0,166.402,999.306,0
2018012,7.612,102.457,-26.725,0.725,0,132.554,1002.009,0
2018013,3.748,76.845,-26.812,0.721,0,139.287,1007.545,0
2018014,11.58,155.908,-20.324,0.742,0,208.148,991.755,0.00001
2018015,6.985,167.235,-25.148,0.728,0,171.058,1019.041,0
2018016,9.103,32.827,-16.861,0.698,0,255.005,1003.772,0
2018017,4.162,77.067,-15.234,0.731,0,193.441,981.977,0
2018018,3.037,170.168,-18.45,0.828,0,190.304,980.959,0
2018019,6.689,117.176,-6.718,0.908,0,256.413,965.054,0
2018020,3.468,250.953,-10.982,0.8,0,264.917,981.641,0.00004
2018021,3.623,219.959,-13.846,0.784,0,245.287,993.411,0.00005
2018022,4.173,256.714,-11.843,0.818,0,251.454,995.695,0
2018023,7.36,300.057,-10.472,0.835,0,265.161,991.368,0.00012
2018024,7.652,135.102,-14.385,0.831,0,244.184,992.946,0.00001
2018025,4.961,299.919,-14.653,0.819,0,218.074,993.137,0
2018026,6.344,268.343,-5.71,0.89,0,280.221,977.044,0.00001
2018027,9.58,184.159,-17.638,0.739,0,189.888,992.496,0.00002
2018028,2.864,145.918,-24.185,0.763,0,157.592,1010.471,0
2018029,2.541,111.575,-23.961,0.766,0,165.151,1010.885,0
2018030,13.713,315.201,-20.192,0.789,0,235.667,986.892,0.00012
2018031,12.892,156.879,-20.838,0.678,0,207.962,976.834,0.00001
2018032,7.626,139.251,-25.066,0.733,0,145.011,1000.149,0
2018033,4.972,110.27,-21.942,0.709,0,210.884,999.185,0.00002
2018034,4.66,128.304,-28.824,0.718,0,133.278,996.067,0
2018035,9.616,60.158,-24.45,0.713,0,163.385,986.946,0
2018036,6.985,142.311,-20.504,0.758,0,182.994,987.72,0
2018037,5.452,54.926,-25.329,0.74,0,143.431,992.605,0
2018038,6.003,93.633,-22.88,0.756,0,167.127,995.333,0
2018039,5.101,110.366,-20.729,0.765,0,196.581,1000.045,0
2018040,9.232,68.384,-22.053,0.71,0,154.348,995.102,0
2018041,6.078,33.357,-19.425,0.773,0,186.746,988.003,0.00001
2018042,12.155,171.491,-19.425,0.734,0,214.897,987.937,0.00001
2018043,6.994,74.524,-26.232,0.706,0,135.297,1006.079,0
2018044,12.925,24.458,-16.431,0.756,0,230.578,979.734,0
2018045,2.781,288.283,-8.936,0.871,0,276.088,972.93,0.00041
2018046,6.579,165.493,-27.676,0.664,0,121.682,994.756,0
2018047,6.251,75.552,-19.557,0.779,0,163.965,985.049,0
2018048,7.359,122.887,-21.339,0.769,0,154.439,980.112,0
2018049,2.252,203.899,-27.456,0.741,0,141.285,988.888,0
2018050,2.194,332.607,-30.592,0.742,0,125.54,1000.258,0
2018051,5.096,358.026,-19.065,0.757,0,200.431,995.059,0.00001
2018052,7.957,110.715,-24.08,0.756,0,137.588,996.716,0
2018053,8.307,20.264,-19.253,0.79,0,160.03,998.113,0
2018054,1.546,146.585,-20.952,0.823,0,189.212,995.039,0
2018055,9.441,7.283,-15.848,0.803,0,178.342,980.493,0
